Teste;Tamanho do Grid;Percentual Obstaculos (%);Tempo de Execucao (s);Tempo de Execucao (ms);Nos Expandidos;Vizinhos Avaliados;Vizinhos Inseridos na Lista Aberta;Tamanho Maximo da Lista Aberta;Comprimento do Caminho (passos);Custo Total do Caminho
1;5000x5000_0;0;0.939;939;5001;40008;25001;19992;5000;69986
2;5000x5000_0;0;0.864;864;5001;40008;25001;19992;5000;69986
3;5000x5000_0;0;0.988;988;5001;40008;25001;19992;5000;69986
4;5000x5000_0;0;0.727;727;5000;40000;24996;19988;5000;69986
5;5000x5000_0;0;1.005;1005;5000;40000;24996;19988;5000;69986
6;5000x5000_0;0;0.773;773;5000;40000;24996;19988;5000;69986
7;5000x5000_0;0;0.704;704;5000;40000;24996;19988;5000;69986
8;5000x5000_0;0;0.563;563;5001;40008;25001;19992;5000;69986
9;5000x5000_0;0;0.511;511;5000;40000;24996;19988;5000;69986
10;5000x5000_0;0;0.509;509;5001;40008;25001;19992;5000;69986
11;5000x5000_0;0;0.525;525;5000;40000;24996;19988;5000;69986
12;5000x5000_0;0;0.492;492;5000;40000;24996;19988;5000;69986
13;5000x5000_0;0;0.488;488;5000;40000;24996;19988;5000;69986
14;5000x5000_0;0;0.470;470;5000;40000;24996;19988;5000;69986
15;5000x5000_0;0;0.499;499;5000;40000;24996;19988;5000;69986
16;5000x5000_0;0;0.490;490;5001;40008;25001;19992;5000;69986
17;5000x5000_0;0;0.515;515;5000;40000;24996;19988;5000;69986
18;5000x5000_0;0;0.473;473;5001;40008;25001;19992;5000;69986
19;5000x5000_0;0;0.503;503;5000;40000;24996;19988;5000;69986
20;5000x5000_0;0;0.513;513;5000;40000;24996;19988;5000;69986
21;5000x5000_10;10;1.026;1026;2386904;19095232;4595154;59537;5193;71144
22;5000x5000_10;10;0.964;964;2394809;19158472;4610742;59537;5193;71144
23;5000x5000_10;10;1.046;1046;2398456;19187648;4617873;59537;5193;71144
24;5000x5000_10;10;0.973;973;2397343;19178744;4615639;59537;5193;71144
25;5000x5000_10;10;0.999;999;2385342;19082736;4592302;59537;5193;71144
26;5000x5000_10;10;1.006;1006;2392137;19137096;4605544;59537;5193;71144
27;5000x5000_10;10;0.987;987;2394566;19156528;4610230;59537;5193;71144
28;5000x5000_10;10;0.997;997;2406691;19253528;4633715;59537;5193;71144
29;5000x5000_10;10;0.945;945;2374218;18993744;4570858;58197;5193;71144
30;5000x5000_10;10;0.980;980;2406406;19251248;4633154;59537;5193;71144
31;5000x5000_10;10;1.023;1023;2407586;19260688;4635446;59537;5193;71144
32;5000x5000_10;10;0.989;989;2381255;19050040;4584411;58197;5193;71144
33;5000x5000_10;10;1.008;1008;2387105;19096840;4595527;59537;5193;71144
34;5000x5000_10;10;0.993;993;2401573;19212584;4623904;59537;5193;71144
35;5000x5000_10;10;0.956;956;2382825;19062600;4587471;58521;5193;71144
36;5000x5000_10;10;1.020;1020;2424230;19393840;4667907;59537;5193;71144
37;5000x5000_10;10;1.024;1024;2413753;19310024;4647471;59537;5193;71144
38;5000x5000_10;10;1.041;1041;2423322;19386576;4666136;59537;5193;71144
39;5000x5000_10;10;0.984;984;2402011;19216088;4624749;59537;5193;71144
40;5000x5000_10;10;1.018;1018;2400907;19207256;4622452;59537;5193;71144
41;5000x5000_20;20;1.289;1289;3840166;30721328;6762822;43710;5350;72086
42;5000x5000_20;20;1.302;1302;3863080;30904640;6803338;43710;5350;72086
43;5000x5000_20;20;1.238;1238;3849585;30796680;6779714;43710;5350;72086
44;5000x5000_20;20;1.297;1297;3870574;30964592;6816539;43710;5350;72086
45;5000x5000_20;20;1.327;1327;3840551;30724408;6763422;43710;5350;72086
46;5000x5000_20;20;1.265;1265;3855033;30840264;6789284;43710;5350;72086
47;5000x5000_20;20;1.395;1395;3846496;30771968;6774205;43710;5350;72086
48;5000x5000_20;20;1.233;1233;3835592;30684736;6754870;43710;5350;72086
49;5000x5000_20;20;1.247;1247;3838135;30705080;6759324;43710;5350;72086
50;5000x5000_20;20;1.307;1307;3852918;30823344;6785575;43710;5350;72086
51;5000x5000_20;20;1.270;1270;3837124;30696992;6757537;43710;5350;72086
52;5000x5000_20;20;1.327;1327;3854857;30838856;6788974;43710;5350;72086
53;5000x5000_20;20;1.271;1271;3853368;30826944;6786348;43710;5350;72086
54;5000x5000_20;20;1.319;1319;3853058;30824464;6785813;43710;5350;72086
55;5000x5000_20;20;1.292;1292;3859263;30874104;6796780;43710;5350;72086
56;5000x5000_20;20;1.407;1407;3846334;30770672;6773903;43710;5350;72086
57;5000x5000_20;20;1.333;1333;3849632;30797056;6779803;43710;5350;72086
