Teste;Tamanho do Grid;Percentual Obstaculos (%);Tempo de Execucao (s);Tempo de Execucao (ms);Nos Expandidos;Vizinhos Avaliados;Vizinhos Inseridos na Lista Aberta;Tamanho Maximo da Lista Aberta;Comprimento do Caminho (passos);Custo Total do Caminho
1;5000x5000_0;0;5.538;5538;537196;4297560;1013868;49894;5070;70406
2;5000x5000_0;0;0.445;445;22622;180968;57708;31289;5001;69992
3;5000x5000_0;0;0.978;978;81828;654616;171532;38348;5011;70052
4;5000x5000_0;0;0.415;415;20985;167872;57147;32336;5001;69992
5;5000x5000_0;0;0.393;393;20993;167936;55897;32381;5001;69992
6;5000x5000_0;0;0.415;415;21255;170032;56498;30926;5001;69992
7;5000x5000_0;0;0.399;399;21052;168408;54470;31253;5001;69992
8;5000x5000_0;0;0.436;436;22573;180576;58783;30981;5001;69992
9;5000x5000_0;0;0.439;439;22359;178864;57277;30590;5001;69992
10;5000x5000_0;0;0.386;386;20987;167888;57780;31984;5001;69992
11;5000x5000_0;0;0.414;414;23272;186168;57417;30701;5001;69992
12;5000x5000_0;0;0.409;409;22715;181712;58464;31926;5001;69992
13;5000x5000_0;0;0.410;410;21512;172088;55795;31817;5001;69992
14;5000x5000_0;0;0.406;406;22177;177408;55508;30979;5001;69992
15;5000x5000_0;0;0.440;440;21523;172176;55569;30014;5001;69992
16;5000x5000_0;0;0.470;470;22139;177104;57403;29942;5001;69992
17;5000x5000_0;0;0.503;503;27066;216520;67722;32410;5003;70004
18;5000x5000_0;0;0.388;388;23653;189216;56605;30156;5001;69992
19;5000x5000_0;0;0.480;480;30959;247664;74703;35380;5003;70004
20;5000x5000_0;0;1.844;1844;167824;1342584;329748;38251;5022;70118
21;5000x5000_10;10;15.702;15702;1504885;12039072;2637211;86895;5250;71534
22;5000x5000_10;10;12.829;12829;1130064;9040504;1946420;101063;5214;71422
23;5000x5000_10;10;13.447;13447;1183469;9467744;2021800;108828;5228;71474
24;5000x5000_10;10;14.645;14645;1283707;10269648;2211005;122971;5227;71492
25;5000x5000_10;10;14.102;14102;1196818;9574536;2033142;102171;5216;71474
26;5000x5000_10;10;13.950;13950;1231695;9853552;2126227;118646;5226;71470
27;5000x5000_10;10;12.959;12959;1149840;9198712;1979717;107506;5217;71448
28;5000x5000_10;10;14.328;14328;1289654;10317224;2221892;124576;5231;71508
29;5000x5000_10;10;15.190;15190;1319157;10553248;2273569;126779;5238;71502
30;5000x5000_10;10;13.068;13068;1155899;9247184;1983465;104917;5217;71440
31;5000x5000_10;10;14.181;14181;1271525;10172192;2185975;124573;5226;71478
32;5000x5000_10;10;12.930;12930;1133606;9068840;1937491;101499;5216;71418
33;5000x5000_10;10;14.056;14056;1651878;13215016;2956913;34131;5264;71570
34;5000x5000_10;10;14.070;14070;1175953;9407616;2018256;111892;5214;71446
35;5000x5000_10;10;12.479;12479;1077827;8622608;1838280;105985;5213;71400
36;5000x5000_10;10;13.000;13000;1146904;9175224;1973102;104747;5223;71436
37;5000x5000_10;10;15.706;15706;1138039;9104304;1951384;98539;5215;71412
38;5000x5000_10;10;18.410;18410;1364976;10919800;2357862;132714;5235;71516
39;5000x5000_10;10;16.300;16300;1633129;13065024;2922791;34264;5261;71552
40;5000x5000_10;10;15.386;15386;1138654;9109224;1966472;110733;5222;71430
41;5000x5000_20;20;25.142;25142;2186717;17493728;3437687;194864;5454;73206
42;5000x5000_20;20;22.430;22430;2155914;17247304;3409722;174329;5429;73176
43;5000x5000_20;20;22.561;22561;2158384;17267064;3389757;186213;5443;73196
44;5000x5000_20;20;22.386;22386;2314546;18516360;3669697;163621;5439;72956
45;5000x5000_20;20;21.799;21799;2139619;17116944;3372552;168182;5428;73162
46;5000x5000_20;20;22.235;22235;2179902;17439208;3435760;185055;5434;73142
47;5000x5000_20;20;22.677;22677;2172162;17377288;3392938;194360;5445;73168
48;5000x5000_20;20;26.537;26537;2278304;18226424;3602879;184192;5452;73018
49;5000x5000_20;20;26.540;26540;2182837;17462688;3405590;203308;5439;73228
50;5000x5000_20;20;32.225;32225;2341919;18735344;3657144;195011;5472;73226
51;5000x5000_20;20;32.867;32867;2304751;18438000;3598318;180118;5480;73450
52;5000x5000_20;20;25.948;25948;2143246;17145960;3360190;191031;5430;73150
53;5000x5000_20;20;27.005;27005;2257900;18063192;3520265;215800;5448;73186
54;5000x5000_20;20;25.220;25220;2148128;17185016;3376053;184084;5431;73148
55;5000x5000_20;20;26.343;26343;2208991;17671920;3458917;203154;5456;73154
56;5000x5000_20;20;26.407;26407;2254058;18032456;3521173;205007;5444;73154
57;5000x5000_20;20;21.089;21089;2339541;18716320;3873948;24786;5435;72612
58;5000x5000_20;20;25.793;25793;2184540;17476312;3424085;195458;5431;73116
59;5000x5000_20;20;25.488;25488;2183829;17470624;3416398;194806;5438;73214
60;5000x5000_20;20;26.080;26080;2211883;17695056;3440879;207521;5459;73164
61;5000x5000_30;30;51.851;51851;4923777;39390208;7060585;472262;5802;76662
62;5000x5000_30;30;56.403;56403;4914454;39315624;7193456;357152;5826;77086
63;5000x5000_30;30;51.528;51528;4066216;32529720;5860551;450590;5902;77422
64;5000x5000_30;30;56.377;56377;5067401;40539200;7175758;484896;5843;76860
65;5000x5000_30;30;38.495;38495;3764111;30112880;5411208;339363;5788;76602
66;5000x5000_30;30;48.232;48232;4700165;37601312;6735536;377834;5784;76538
67;5000x5000_30;30;50.805;50805;4912964;39303704;7038648;458964;5804;76466
68;5000x5000_30;30;29.569;29569;3758297;30066368;5322803;18411;5807;74988
69;5000x5000_30;30;35.179;35179;3736258;29890056;5357088;281507;5777;76464
70;5000x5000_30;30;54.736;54736;5019675;40157392;7197307;484034;5820;76642
71;5000x5000_30;30;52.524;52524;4428487;35427888;6414361;478671;5934;77766
72;5000x5000_30;30;38.962;38962;3814861;30518880;5453152;355925;5819;76700
73;5000x5000_30;30;44.368;44368;4763869;38110944;6801675;387657;5786;76590
74;5000x5000_30;30;34.837;34837;3797851;30382800;5437435;306244;5784;76602
75;5000x5000_30;30;34.916;34916;3749526;29996200;5374137;319724;5794;76550
76;5000x5000_30;30;29.078;29078;3728897;29831168;5268919;17939;5808;74970
77;5000x5000_30;30;34.112;34112;3746116;29968920;5371435;321187;5793;76544
78;5000x5000_30;30;45.178;45178;4700937;37607488;6733697;379815;5783;76540
79;5000x5000_30;30;60.401;60401;5416679;43333424;7911184;636854;5874;77174
80;5000x5000_30;30;55.817;55817;5112743;40901936;7325076;516214;5829;76808
1;6000x6000_0;0;6.759;6759;394995;3159952;752014;65809;6050;84286
2;6000x6000_0;0;2.238;2238;170841;1366720;337505;49367;6015;84084
3;6000x6000_0;0;1.596;1596;132361;1058880;260231;44261;6019;84116
4;6000x6000_0;0;1.009;1009;69487;555888;150039;43210;6008;84034
5;6000x6000_0;0;1.049;1049;44917;359328;105414;36698;6006;84022
6;6000x6000_0;0;2.824;2824;247968;1983736;479026;46811;6028;84154
7;6000x6000_0;0;0.691;691;51236;409880;118019;41139;6005;84016
8;6000x6000_0;0;2.686;2686;305544;2444344;590018;51516;6038;84214
9;6000x6000_0;0;1.323;1323;112946;903560;236236;49530;6016;84090
10;6000x6000_0;0;0.928;928;68844;550744;151810;40537;6009;84040
11;6000x6000_0;0;1.314;1314;153586;1228680;309056;43474;6019;84100
12;6000x6000_0;0;1.243;1243;112104;896824;222413;43262;6018;84094
13;6000x6000_0;0;0.714;714;55494;443944;124667;40644;6006;84022
14;6000x6000_0;0;1.001;1001;95267;762128;196409;43922;6010;84054
15;6000x6000_0;0;0.743;743;74622;596968;161375;38716;6008;84034
16;6000x6000_0;0;0.646;646;42222;337768;98025;46315;6003;84004
17;6000x6000_0;0;1.315;1315;142726;1141800;283923;55950;6016;84082
18;6000x6000_0;0;1.864;1864;223289;1786304;439301;44294;6028;84154
19;6000x6000_0;0;1.314;1314;115651;925200;232608;46469;6013;84064
20;6000x6000_0;0;2.124;2124;218161;1745280;429332;48074;6026;84142
21;6000x6000_10;10;14.956;14956;1949603;15596816;3424367;117036;6276;85682
22;6000x6000_10;10;14.930;14930;1919242;15353928;3411359;81870;6255;85548
23;6000x6000_10;10;15.110;15110;1699675;13597392;2871946;133730;6280;85834
24;6000x6000_10;10;33.887;33887;1710485;13683872;2808452;64203;6279;85932
25;6000x6000_10;10;34.542;34542;1826355;14610832;3036079;84566;6277;85864
26;6000x6000_10;10;16.684;16684;1901081;15208640;3323642;150138;6258;85662
27;6000x6000_10;10;13.726;13726;1690754;13526024;2798622;132752;6264;85778
28;6000x6000_10;10;14.484;14484;1708842;13670728;2880097;190582;6275;85884
29;6000x6000_10;10;14.029;14029;1736009;13888064;2860412;75217;6271;85876
30;6000x6000_10;10;15.416;15416;1863879;14911024;3192681;186798;6283;85836
31;6000x6000_10;10;13.077;13077;1686714;13493704;2837330;123971;6266;85910
32;6000x6000_10;10;19.179;19179;1768001;14144000;2983493;231643;6288;86010
33;6000x6000_10;10;23.176;23176;1817224;14537784;3135826;170070;6277;85720
34;6000x6000_10;10;36.689;36689;1848975;14791792;3148168;192075;6282;85854
35;6000x6000_10;10;24.708;24708;1584300;12674392;2734777;157319;6256;85658
36;6000x6000_10;10;23.805;23805;1734149;13873184;2937959;114269;6293;85984
37;6000x6000_10;10;19.748;19748;1735099;13880784;2965543;164269;6256;85642
38;6000x6000_10;10;31.372;31372;1714773;13718176;2873915;155651;6292;85914
39;6000x6000_10;10;27.902;27902;1844026;14752200;3215839;140938;6262;85622
40;6000x6000_10;10;26.324;26324;1558799;12470384;2658475;123090;6253;85664
41;6000x6000_20;20;44.295;44295;3502572;28020568;5419904;382030;6586;88086
42;6000x6000_20;20;54.668;54668;3424960;27399672;5407925;310136;6574;88198
43;6000x6000_20;20;53.327;53327;3391765;27134112;5333077;305774;6541;87704
44;6000x6000_20;20;47.673;47673;3453766;27630120;5369095;365239;6571;88156
45;6000x6000_20;20;53.339;53339;3912368;31298936;6057205;467528;6660;89018
46;6000x6000_20;20;27.124;27124;3397842;27182728;5319635;335482;6587;88380
47;6000x6000_20;20;30.350;30350;3672643;29381136;5730325;289223;6553;88576
48;6000x6000_20;20;39.134;39134;3489854;27918824;5393595;274726;6580;88322
49;6000x6000_20;20;30.395;30395;3445602;27564808;5390945;388334;6581;88272
50;6000x6000_20;20;43.400;43400;3388064;27104504;5273491;354279;6559;88140
51;6000x6000_20;20;27.144;27144;3548615;28388912;5563963;444809;6615;88596
52;6000x6000_20;20;40.753;40753;3753865;30030912;5771711;509310;6661;88848
53;6000x6000_20;20;39.785;39785;3319473;26555776;5163671;301677;6542;88014
54;6000x6000_20;20;41.013;41013;3982912;31863288;6462165;395884;6637;89088
55;6000x6000_20;20;55.026;55026;3301836;26414680;5166101;318260;6539;87948
56;6000x6000_20;20;28.640;28640;3418713;27349696;5346799;409150;6595;88476
57;6000x6000_20;20;47.703;47703;3475140;27801112;5431179;347945;6566;88102
58;6000x6000_20;20;26.164;26164;3455363;27642896;5506988;332448;6583;88420
59;6000x6000_20;20;29.586;29586;3771426;30171400;5875260;463863;6630;88678
60;6000x6000_20;20;51.376;51376;3397034;27176264;5353410;286289;6544;87794
61;6000x6000_30;30;65.088;65088;5801487;46411888;8359846;614172;7026;92782
62;6000x6000_30;30;121.210;121210;7577647;60621168;11247267;829054;7278;95438
63;6000x6000_30;30;160.190;160190;15305678;122445416;23096723;2451962;8053;103912
64;6000x6000_30;30;58.430;58430;6188844;49510744;9036092;675426;7117;93464
65;6000x6000_30;30;54.897;54897;5616256;44930040;8077401;596377;7027;92724
66;6000x6000_30;30;120.852;120852;10501096;84008760;15817919;1671205;7774;101566
67;6000x6000_30;30;186.433;186433;17604126;140833000;26456556;2876607;8246;107054
68;6000x6000_30;30;127.807;127807;10406456;83251640;15691228;1403861;7758;101406
69;6000x6000_30;30;63.713;63713;7830733;62645856;11591805;1039699;7365;95976
70;6000x6000_30;30;94.093;94093;7489359;59914864;10971906;925239;7269;95648
71;6000x6000_30;30;59.091;59091;5698754;45590024;8200370;578209;7018;92478
72;6000x6000_30;30;83.692;83692;7749801;61998400;11722566;918886;7384;96714
73;6000x6000_30;30;143.023;143023;14917630;119341032;22859907;2689127;8867;114828
74;6000x6000_30;30;61.914;61914;5331866;42654920;7673200;547422;6974;91638
75;6000x6000_30;30;155.024;155024;15006293;120050336;22354056;2184664;7914;103302
76;6000x6000_30;30;77.982;77982;7298051;58384400;10689669;694110;7189;95272
77;6000x6000_30;30;71.808;71808;6906502;55252008;10138875;913995;7194;94206
78;6000x6000_30;30;85.138;85138;5839579;46716624;8373579;603627;7069;92640
79;6000x6000_30;30;73.786;73786;5568383;44547056;8005797;535137;6990;92182
80;6000x6000_30;30;160.211;160211;13873350;110986792;20861073;2050438;7739;100308
81;7000x7000_0;0;1.464;1464;119730;957832;249899;48629;7010;98046
82;7000x7000_0;0;1.928;1928;171587;1372688;332219;51838;7022;98118
83;7000x7000_0;0;3.910;3910;457513;3660096;877652;60288;7049;98280
84;7000x7000_0;0;2.056;2056;233068;1864536;464608;57135;7026;98142
85;7000x7000_0;0;1.450;1450;140168;1121336;288050;46730;7015;98076
86;7000x7000_0;0;2.155;2155;204878;1639016;389274;58249;7024;98138
87;7000x7000_0;0;1.890;1890;208796;1670360;411343;60387;7022;98118
88;7000x7000_0;0;2.615;2615;289555;2316432;534841;73847;7029;98160
89;7000x7000_0;0;2.245;2245;282113;2256896;551471;61889;7029;98160
90;7000x7000_0;0;2.364;2364;266770;2134152;504124;63107;7032;98178
91;7000x7000_0;0;0.982;982;33261;266080;83465;43261;7002;97998
92;7000x7000_0;0;2.390;2390;255894;2047144;496794;52382;7024;98130
93;7000x7000_0;0;0.889;889;72111;576880;161305;53452;7005;98016
94;7000x7000_0;0;1.302;1302;109245;873952;231622;49147;7010;98046
95;7000x7000_0;0;2.520;2520;224817;1798528;427429;70146;7023;98148
96;7000x7000_0;0;1.251;1251;126831;1014640;259590;59986;7014;98070
97;7000x7000_0;0;1.890;1890;215709;1725664;413012;65345;7022;98118
98;7000x7000_0;0;4.445;4445;378492;3027928;729932;53677;7036;98202
99;7000x7000_0;0;1.924;1924;146758;1174056;290024;56800;7013;98064
100;7000x7000_0;0;3.048;3048;217463;1739696;435971;60492;7018;98094
101;7000x7000_10;10;42.038;42038;2389243;19113936;4059123;248919;7321;100144
102;7000x7000_10;10;21.912;21912;2125111;17000880;3559592;244317;7302;100022
103;7000x7000_10;10;37.053;37053;2273920;18191352;3883407;195740;7302;99974
104;7000x7000_10;10;27.133;27133;2389766;19118120;3992895;285673;7339;100236
105;7000x7000_10;10;32.127;32127;2414163;19313296;4026210;250404;7308;100114
106;7000x7000_10;10;43.842;43842;2387376;19099000;4033296;248188;7302;100054
107;7000x7000_10;10;28.400;28400;2250037;18000288;3821008;235231;7299;100036
