Teste,Tamanho do Grid,Percentual Obstaculos (%),Tempo de Execucao (s),Tempo de Execucao (ms),Nos Expandidos,Vizinhos Avaliados,Vizinhos Inseridos na Lista Aberta,Tamanho Maximo da Lista Aberta,Comprimento do Caminho (passos),Custo Total do Caminho
1,5000x5000_0,0,0.694,694,66521,532160,233070,157331,5001,69992
2,5000x5000_0,0,0.834,834,128133,1025056,442276,288363,5012,70074
3,5000x5000_0,0,0.677,677,81102,648808,295130,201830,5004,70018
4,5000x5000_0,0,0.483,483,53709,429664,182064,119615,5005,70024
5,5000x5000_0,0,0.543,543,74503,596016,255620,167937,5005,70024
6,5000x5000_0,0,1.543,1543,341546,2732360,1282783,824554,5017,70136
7,5000x5000_0,0,0.732,732,122917,983328,448867,284803,5010,70054
8,5000x5000_0,0,0.978,978,185747,1485968,621632,375071,5009,70048
9,5000x5000_0,0,0.502,502,78210,625672,282482,191530,5005,70024
10,5000x5000_0,0,0.562,562,89606,716840,292521,182879,5006,70022
11,5000x5000_0,0,0.500,500,74510,596072,254374,165147,5005,70024
12,5000x5000_0,0,0.580,580,97269,778144,346310,230401,5006,70030
13,5000x5000_0,0,0.507,507,72647,581168,240462,143095,5009,70064
14,5000x5000_0,0,0.709,709,110743,885936,374596,224375,5012,70082
15,5000x5000_0,0,0.476,476,75995,607952,266633,178518,5001,69992
16,5000x5000_0,0,0.521,521,70927,567408,220040,127778,5008,70050
17,5000x5000_0,0,0.626,626,114815,918512,411954,265918,5011,70068
18,5000x5000_0,0,0.519,519,76442,611528,248714,150092,5006,70030
19,5000x5000_0,0,0.570,570,96887,775088,327318,200520,5013,70072
20,5000x5000_0,0,0.488,488,72016,576120,258813,175722,5004,70026
21,5000x5000_10,10,29.364,29364,3779684,30237464,7233986,963395,5581,75152
22,5000x5000_10,10,20.554,20554,2741134,21929064,5270297,675816,5263,71724
23,5000x5000_10,10,21.166,21166,2832421,22659360,5454427,733852,5252,71682
24,5000x5000_10,10,22.868,22868,2907182,23257448,5572305,720524,5270,71766
25,5000x5000_10,10,9.605,9605,1259189,10073504,2453543,334420,5265,71704
26,5000x5000_10,10,28.880,28880,3780524,30244184,7318326,996019,5568,74946
27,5000x5000_10,10,29.657,29657,3877805,31022432,7476832,1013367,5582,75254
28,5000x5000_10,10,28.387,28387,3793302,30346408,7336968,986812,5580,75074
29,5000x5000_10,10,10.194,10194,1350292,10802328,2571324,377317,5297,71864
30,5000x5000_10,10,10.204,10204,1395328,11162616,2684968,374591,5295,71876
31,5000x5000_10,10,29.998,29998,3946510,31572072,7585722,1014047,5595,75396
32,5000x5000_10,10,30.021,30021,3848731,30789840,7549035,1025715,5567,74852
33,5000x5000_10,10,9.710,9710,1297833,10382656,2517004,336307,5273,71728
34,5000x5000_10,10,27.087,27087,3560836,28486680,6949507,931223,5558,74686
35,5000x5000_10,10,30.437,30437,4055744,32445944,7817509,1041270,5599,75436
36,5000x5000_10,10,27.805,27805,3714878,29719016,7294357,997868,5570,74814
37,5000x5000_10,10,9.841,9841,1261198,10089576,2442214,329411,5300,71826
38,5000x5000_10,10,21.310,21310,2664883,21319056,5129289,660533,5260,71642
39,5000x5000_10,10,22.871,22871,2806934,22455464,5405782,728283,5271,71740
40,5000x5000_10,10,35.459,35459,4041200,32329592,7678147,970312,5603,75508
41,5000x5000_20,20,17.627,17627,2309521,18476160,4112753,605615,5561,73800
42,5000x5000_20,20,40.816,40816,5486245,43889952,9344790,1234706,5593,74304
43,5000x5000_20,20,52.467,52467,6961683,55693456,11802937,1562391,6233,81920
44,5000x5000_20,20,17.699,17699,2325399,18603184,4114438,570188,5567,73836
45,5000x5000_20,20,18.133,18133,2391040,19128312,4257715,614617,5563,73868
46,5000x5000_20,20,69.904,69904,9221312,73770488,15351806,2066530,5828,77466
47,5000x5000_20,20,37.581,37581,5195503,41564016,8956427,1158227,5551,73812
48,5000x5000_20,20,47.188,47188,6626364,53010904,11351298,1622457,6215,81620
49,5000x5000_20,20,14.710,14710,2157422,17259368,3857150,519427,5504,73402
50,5000x5000_20,20,33.469,33469,4963783,39710256,8628280,1132301,5513,73520
51,5000x5000_20,20,34.123,34123,5035754,40286024,8759897,1157860,5513,73528
52,5000x5000_20,20,45.204,45204,6578172,52625368,11233167,1651623,6213,81576
53,5000x5000_20,20,40.239,40239,5804722,46437768,9563822,1236461,6102,80414
54,5000x5000_20,20,43.665,43665,6308063,50464496,10625583,1490524,6151,80828
55,5000x5000_20,20,16.518,16518,2343388,18747096,4143860,592493,5570,73774
56,5000x5000_20,20,14.917,14917,2202514,17620104,3922751,550527,5530,73550
57,5000x5000_20,20,44.757,44757,6556905,52455232,11043304,1507510,6170,81022
58,5000x5000_20,20,44.263,44263,6509073,52072576,10911255,1537590,6205,81112
59,5000x5000_20,20,15.586,15586,2165784,17326264,3841993,540391,5520,73554
60,5000x5000_20,20,47.139,47139,6726744,53813944,11338035,1591876,6185,81392
61,5000x5000_30,30,33.919,33919,4828051,38624400,7617068,1157349,6188,80298
62,5000x5000_30,30,50.387,50387,6017685,48141472,9382651,1371775,6505,84224
63,5000x5000_30,30,44.080,44080,6445731,51565840,9927748,1376050,6456,84082
64,5000x5000_30,30,34.514,34514,5502310,44018472,8540188,1220392,6362,82366
65,5000x5000_30,30,85.751,85751,13273607,106188848,20402339,2802300,6959,89484
66,5000x5000_30,30,34.087,34087,5493225,43945792,8583648,1258082,6365,82416
67,5000x5000_30,30,79.355,79355,12642796,101142360,19339408,2598413,6895,88444
68,5000x5000_30,30,83.504,83504,13007367,104058928,19506585,2519334,7000,90402
69,5000x5000_30,30,79.391,79391,12886362,103090888,19498230,2611169,6887,88732
70,5000x5000_30,30,76.040,76040,12531323,100250576,19018595,2535078,6933,89240
71,5000x5000_30,30,32.370,32370,5941103,47528816,9153279,1285508,6392,82890
72,5000x5000_30,30,23.948,23948,4748492,37987928,7354584,990501,6113,79464
73,5000x5000_30,30,70.533,70533,13275054,106200424,20035788,2639541,7035,90668
74,5000x5000_30,30,89.850,89850,12953624,103628984,19843776,2641687,6928,88866
75,5000x5000_30,30,78.073,78073,12480419,99843344,18869475,2414954,7017,90512
76,5000x5000_30,30,93.685,93685,12099278,96794216,17906937,2048370,7098,91766
77,5000x5000_30,30,109.779,109779,13054039,104432304,19953130,2661703,7011,90156
78,5000x5000_30,30,51.062,51062,6423951,51391600,9944058,1420396,6482,84430
79,5000x5000_30,30,93.620,93620,12242473,97939776,18179947,2125880,7167,92628
80,5000x5000_30,30,45.886,45886,6314579,50516624,9744295,1344607,6467,83892
