Teste;Tamanho do Grid;Percentual Obstaculos (%);Tempo de Execucao (s);Tempo de Execucao (ms);Nos Expandidos;Vizinhos Avaliados;Vizinhos Inseridos na Lista Aberta;Tamanho Maximo da Lista Aberta;Comprimento do Caminho (passos);Custo Total do Caminho
1;5000x5000_0;0;0.300;300;42691;341520;98051;2851;5002;69998
2;5000x5000_0;0;0.311;311;25440;203512;65720;2720;5002;69998
3;5000x5000_0;0;0.356;356;46610;372872;103405;2737;5001;69992
4;5000x5000_0;0;0.331;331;40622;324968;92366;3134;5009;70040
5;5000x5000_0;0;0.283;283;40381;323040;91950;2721;5001;69992
6;5000x5000_0;0;0.287;287;30683;245456;75814;2721;5001;69992
7;5000x5000_0;0;0.363;363;42830;342632;97606;2775;5006;70022
8;5000x5000_0;0;0.286;286;44321;354560;103287;2835;5004;70010
9;5000x5000_0;0;0.292;292;37267;298128;89165;2749;5000;69986
10;5000x5000_0;0;0.350;350;39792;318328;92969;2719;5001;69992
11;5000x5000_0;0;0.269;269;35865;286912;84648;2721;5001;69992
12;5000x5000_0;0;0.282;282;32761;262080;79102;2757;5002;69998
13;5000x5000_0;0;0.273;273;38199;305584;88903;2755;5003;70004
14;5000x5000_0;0;0.274;274;46974;375784;106622;2918;5004;70010
15;5000x5000_0;0;0.268;268;41357;330848;95518;2954;5008;70034
16;5000x5000_0;0;0.296;296;24309;194464;63415;2712;5000;69986
17;5000x5000_0;0;0.273;273;26610;212872;68106;2818;5005;70016
18;5000x5000_0;0;0.302;302;23696;189560;62209;2733;5001;69992
19;5000x5000_0;0;0.279;279;43356;346840;100026;2810;5002;69998
20;5000x5000_0;0;0.300;300;20663;165296;56223;2639;5000;69986
21;5000x5000_10;10;15.501;15501;1342845;10742752;2611704;2794;5218;71294
22;5000x5000_10;10;13.415;13415;1259724;10077784;2452944;3043;5207;71228
23;5000x5000_10;10;12.595;12595;1309514;10476104;2545602;2660;5212;71258
24;5000x5000_10;10;12.682;12682;1227637;9821088;2390497;2690;5203;71204
25;5000x5000_10;10;12.002;12002;1355299;10842384;2632412;2857;5218;71294
26;5000x5000_10;10;11.037;11037;1298799;10390384;2523012;3040;5212;71258
27;5000x5000_10;10;12.394;12394;1314129;10513024;2552978;2763;5212;71258
28;5000x5000_10;10;12.293;12293;1367597;10940768;2659472;2727;5218;71294
29;5000x5000_10;10;12.154;12154;1303421;10427360;2532951;2785;5212;71258
30;5000x5000_10;10;18.065;18065;1351859;10814864;2625208;2902;5217;71288
31;5000x5000_10;10;12.633;12633;1365788;10926296;2653153;2816;5217;71288
32;5000x5000_10;10;11.219;11219;1265273;10122176;2462689;2872;5208;71234
33;5000x5000_10;10;11.874;11874;1363665;10909312;2647722;2799;5220;71306
34;5000x5000_10;10;12.910;12910;1359704;10877624;2638323;2907;5218;71294
35;5000x5000_10;10;12.964;12964;1386052;11088408;2682821;3312;5220;71306
36;5000x5000_10;10;11.884;11884;1340811;10726480;2607989;2800;5214;71270
37;5000x5000_10;10;12.748;12748;1393287;11146288;2706801;2838;5220;71306
38;5000x5000_10;10;11.421;11421;1310618;10484936;2546180;2794;5213;71264
39;5000x5000_10;10;22.323;22323;1364302;10914408;2648930;2850;5217;71288
40;5000x5000_10;10;33.461;33461;1278622;10228968;2485580;2819;5209;71240
41;5000x5000_20;20;33.547;33547;2049321;16394560;3611643;2361;5375;72236
42;5000x5000_20;20;21.370;21370;2042208;16337656;3597317;2286;5376;72242
43;5000x5000_20;20;20.428;20428;2103565;16828512;3707317;2304;5382;72278
44;5000x5000_20;20;22.886;22886;2033253;16266016;3584847;2321;5374;72230
45;5000x5000_20;20;30.476;30476;2046731;16373840;3604355;2348;5375;72236
46;5000x5000_20;20;20.985;20985;2017192;16137528;3557496;2315;5371;72212
47;5000x5000_20;20;23.714;23714;2009826;16078600;3548499;2305;5372;72218
48;5000x5000_20;20;20.206;20206;2054043;16432336;3620404;2248;5376;72242
49;5000x5000_20;20;22.388;22388;2088618;16708936;3671471;2258;5377;72248
50;5000x5000_20;20;45.800;45800;1985870;15886952;3506010;2279;5367;72188
51;5000x5000_20;20;70.062;70062;2076865;16614912;3660347;2222;5379;72260
52;5000x5000_20;20;41.488;41488;2016869;16134944;3558332;2182;5372;72218
53;5000x5000_20;20;37.027;37027;2040473;16323776;3601393;2285;5375;72236
54;5000x5000_20;20;25.949;25949;2081459;16651664;3668944;2269;5379;72260
55;5000x5000_20;20;26.989;26989;2087395;16699152;3678611;2315;5379;72260
56;5000x5000_20;20;25.940;25940;2045313;16362496;3603675;2389;5376;72242
57;5000x5000_20;20;27.046;27046;2033459;16267664;3585171;2380;5374;72230
58;5000x5000_20;20;23.322;23322;2046928;16375416;3609358;2266;5375;72236
59;5000x5000_20;20;34.024;34024;2099420;16795352;3695381;2298;5381;72272
60;5000x5000_20;20;24.179;24179;2045642;16365128;3607275;2417;5373;72224
61;5000x5000_30;30;75.298;75298;2802588;22420696;4385648;1999;5606;73622
62;5000x5000_30;30;57.435;57435;2827872;22622968;4423339;1938;5605;73640
63;5000x5000_30;30;43.497;43497;2770575;22164592;4336223;1822;5602;73598
64;5000x5000_30;30;43.437;43437;2790299;22322384;4369099;1735;5601;73608
65;5000x5000_30;30;44.110;44110;2798042;22384328;4378886;1844;5602;73606
