Teste,Tamanho do Grid,Percentual Obstaculos (%),Tempo de Execucao (s),Tempo de Execucao (ms),Nos Expandidos,Vizinhos Avaliados,Vizinhos Inseridos na Lista Aberta,Tamanho Maximo da Lista Aberta,Comprimento do Caminho (passos),Custo Total do Caminho
1,5000x5000_0,0,0.376,376,31321,250560,77168,5384,5002,69998
2,5000x5000_0,0,0.416,416,41260,330072,96578,5595,5005,70016
3,5000x5000_0,0,0.399,399,35555,284432,83666,5776,5003,70004
4,5000x5000_0,0,0.361,361,35915,287312,83032,5544,5003,70004
5,5000x5000_0,0,0.383,383,39187,313488,89606,5536,5002,69998
6,5000x5000_0,0,0.363,363,35391,283120,83161,5399,5001,69992
7,5000x5000_0,0,0.372,372,29932,239448,74490,5391,5000,69986
8,5000x5000_0,0,0.353,353,38380,307032,87909,5487,5001,69992
9,5000x5000_0,0,0.332,332,29954,239624,74058,5493,5003,70004
10,5000x5000_0,0,0.313,313,41859,334864,94412,5523,5004,70010
11,5000x5000_0,0,0.313,313,42224,337784,94677,5887,5002,69998
12,5000x5000_0,0,0.312,312,41628,333016,94056,5514,5002,69998
13,5000x5000_0,0,0.335,335,39070,312552,88887,5455,5001,69992
14,5000x5000_0,0,0.327,327,27672,221368,69633,5373,5001,69992
15,5000x5000_0,0,0.328,328,43640,349112,102108,5526,5006,70022
16,5000x5000_0,0,0.315,315,45340,362712,100622,5457,5002,69998
17,5000x5000_0,0,0.308,308,40854,326824,92358,5412,5002,69998
18,5000x5000_0,0,0.312,312,43581,348640,97604,5543,5004,70010
19,5000x5000_0,0,0.304,304,41668,333336,98100,5480,5005,70016
20,5000x5000_0,0,0.291,291,39595,316752,90420,5434,5001,69992
21,5000x5000_10,10,25.668,25668,1325706,10605640,2575921,5631,5215,71276
22,5000x5000_10,10,23.352,23352,1290385,10323072,2507961,6005,5209,71240
23,5000x5000_10,10,26.219,26219,1361064,10888504,2645577,5462,5217,71288
24,5000x5000_10,10,23.990,23990,1347149,10777184,2614063,5510,5217,71288
25,5000x5000_10,10,24.876,24876,1322719,10581744,2570878,5316,5213,71264
26,5000x5000_10,10,22.631,22631,1249584,9996664,2434230,5251,5206,71222
27,5000x5000_10,10,24.755,24755,1343622,10748968,2609559,5661,5216,71282
28,5000x5000_10,10,24.445,24445,1274131,10193040,2478236,5458,5208,71234
29,5000x5000_10,10,24.129,24129,1304166,10433320,2535601,5276,5212,71258
30,5000x5000_10,10,27.005,27005,1402445,11219552,2724812,5649,5223,71324
31,5000x5000_10,10,26.577,26577,1341707,10733648,2609786,5469,5215,71276
32,5000x5000_10,10,28.404,28404,1436221,11489760,2783260,6036,5225,71336
33,5000x5000_10,10,26.278,26278,1334180,10673432,2607824,5796,5208,71242
34,5000x5000_10,10,23.612,23612,1247977,9983808,2425526,5324,5204,71210
35,5000x5000_10,10,23.388,23388,1285775,10286192,2502091,5142,5212,71258
36,5000x5000_10,10,25.077,25077,1349686,10797480,2615544,6148,5216,71282
37,5000x5000_10,10,26.264,26264,1399446,11195560,2712385,5989,5223,71324
38,5000x5000_10,10,23.601,23601,1268989,10151904,2468678,5286,5210,71246
39,5000x5000_10,10,23.425,23425,1300856,10406840,2527692,5699,5211,71252
40,5000x5000_10,10,25.587,25587,1373120,10984952,2666844,5699,5217,71288
41,5000x5000_20,20,53.166,53166,1953145,15625152,3449035,4426,5363,72164
42,5000x5000_20,20,60.000,60000,2010607,16084848,3547556,4579,5371,72220
43,5000x5000_20,20,64.542,64542,2004417,16035328,3538174,4479,5369,72200
44,5000x5000_20,20,57.031,57031,2050418,16403336,3614076,4615,5374,72230
45,5000x5000_20,20,54.966,54966,2052783,16422256,3614584,4612,5374,72230
46,5000x5000_20,20,53.652,53652,2017983,16143856,3554665,4554,5371,72212
47,5000x5000_20,20,53.070,53070,2017490,16139912,3555355,4401,5371,72212
48,5000x5000_20,20,55.434,55434,2039549,16316384,3593640,4537,5373,72224
49,5000x5000_20,20,55.907,55907,2021261,16170080,3563539,4463,5371,72212
50,5000x5000_20,20,56.547,56547,2074372,16594968,3653944,4592,5376,72242
51,5000x5000_20,20,55.572,55572,2056227,16449808,3621742,4580,5377,72248
52,5000x5000_20,20,59.002,59002,2033260,16266072,3587667,4357,5373,72224
53,5000x5000_20,20,57.768,57768,2125481,17003840,3741914,4541,5385,72296
54,5000x5000_20,20,53.381,53381,1993877,15951008,3512349,4644,5370,72206
55,5000x5000_20,20,54.398,54398,2024875,16198992,3572749,4367,5371,72212
