Teste;Tamanho do Grid;Percentual Obstaculos (%);Tempo de Execucao (s);Tempo de Execucao (ms);Nos Expandidos;Vizinhos Avaliados;Vizinhos Inseridos na Lista Aberta;Tamanho Maximo da Lista Aberta;Comprimento do Caminho (passos);Custo Total do Caminho
1;5000x5000_0;0;0.382;382;5000;39987;24993;19995;5000;69986
2;5000x5000_0;0;0.420;420;5000;39987;24993;19995;5000;69986
3;5000x5000_0;0;0.401;401;5000;39987;24993;19995;5000;69986
4;5000x5000_0;0;0.410;410;5000;39987;24993;19995;5000;69986
5;5000x5000_0;0;0.531;531;5000;39987;24993;19995;5000;69986
6;5000x5000_0;0;0.652;652;5000;39987;24993;19995;5000;69986
7;5000x5000_0;0;0.695;695;5000;39987;24993;19995;5000;69986
8;5000x5000_0;0;0.593;593;5000;39987;24993;19995;5000;69986
9;5000x5000_0;0;0.624;624;5000;39987;24993;19995;5000;69986
10;5000x5000_0;0;0.586;586;5000;39987;24993;19995;5000;69986
11;5000x5000_0;0;0.548;548;5000;39987;24993;19995;5000;69986
12;5000x5000_0;0;0.582;582;5000;39987;24993;19995;5000;69986
13;5000x5000_0;0;0.427;427;5000;39987;24993;19995;5000;69986
14;5000x5000_0;0;0.465;465;5000;39987;24993;19995;5000;69986
15;5000x5000_0;0;0.446;446;5000;39987;24993;19995;5000;69986
16;5000x5000_0;0;0.470;470;5000;39987;24993;19995;5000;69986
17;5000x5000_0;0;0.493;493;5000;39987;24993;19995;5000;69986
18;5000x5000_0;0;0.533;533;5000;39987;24993;19995;5000;69986
19;5000x5000_0;0;0.764;764;5000;39987;24993;19995;5000;69986
20;5000x5000_0;0;0.683;683;5000;39987;24993;19995;5000;69986
21;5000x5000_10;10;5.014;5014;4070802;32562890;6812940;23391;5690;74126
22;5000x5000_10;10;5.334;5334;4070802;32562890;6812940;23391;5690;74126
23;5000x5000_10;10;5.154;5154;4070802;32562890;6812940;23391;5690;74126
24;5000x5000_10;10;4.678;4678;4070802;32562890;6812940;23391;5690;74126
25;5000x5000_10;10;4.651;4651;4070802;32562890;6812940;23391;5690;74126
26;5000x5000_10;10;4.527;4527;4070802;32562890;6812940;23391;5690;74126
27;5000x5000_10;10;4.613;4613;4070802;32562890;6812940;23391;5690;74126
28;5000x5000_10;10;4.357;4357;4070802;32562890;6812940;23391;5690;74126
29;5000x5000_10;10;4.314;4314;4070802;32562890;6812940;23391;5690;74126
30;5000x5000_10;10;4.248;4248;4070802;32562890;6812940;23391;5690;74126
31;5000x5000_10;10;4.277;4277;4070802;32562890;6812940;23391;5690;74126
32;5000x5000_10;10;4.408;4408;4070802;32562890;6812940;23391;5690;74126
33;5000x5000_10;10;4.817;4817;4070802;32562890;6812940;23391;5690;74126
34;5000x5000_10;10;4.363;4363;4070802;32562890;6812940;23391;5690;74126
35;5000x5000_10;10;4.655;4655;4070802;32562890;6812940;23391;5690;74126
36;5000x5000_10;10;4.337;4337;4070802;32562890;6812940;23391;5690;74126
37;5000x5000_10;10;4.478;4478;4070802;32562890;6812940;23391;5690;74126
38;5000x5000_10;10;4.452;4452;4070802;32562890;6812940;23391;5690;74126
39;5000x5000_10;10;4.492;4492;4070802;32562890;6812940;23391;5690;74126
40;5000x5000_10;10;4.397;4397;4070802;32562890;6812940;23391;5690;74126
41;5000x5000_20;20;7.026;7026;7145449;57157540;10017008;15212;6474;78830
42;5000x5000_20;20;7.073;7073;7145449;57157540;10017008;15212;6474;78830
43;5000x5000_20;20;6.847;6847;7145449;57157540;10017008;15212;6474;78830
44;5000x5000_20;20;8.142;8142;7145449;57157540;10017008;15212;6474;78830
45;5000x5000_20;20;7.346;7346;7145449;57157540;10017008;15212;6474;78830
46;5000x5000_20;20;9.115;9115;7145449;57157540;10017008;15212;6474;78830
47;5000x5000_20;20;6.815;6815;7145449;57157540;10017008;15212;6474;78830
48;5000x5000_20;20;6.870;6870;7145449;57157540;10017008;15212;6474;78830
49;5000x5000_20;20;8.252;8252;7145449;57157540;10017008;15212;6474;78830
50;5000x5000_20;20;7.734;7734;7145449;57157540;10017008;15212;6474;78830
51;5000x5000_20;20;6.978;6978;7145449;57157540;10017008;15212;6474;78830
52;5000x5000_20;20;7.348;7348;7145449;57157540;10017008;15212;6474;78830
53;5000x5000_20;20;6.946;6946;7145449;57157540;10017008;15212;6474;78830
54;5000x5000_20;20;7.221;7221;7145449;57157540;10017008;15212;6474;78830
55;5000x5000_20;20;6.980;6980;7145449;57157540;10017008;15212;6474;78830
56;5000x5000_20;20;6.870;6870;7145449;57157540;10017008;15212;6474;78830
57;5000x5000_20;20;6.875;6875;7145449;57157540;10017008;15212;6474;78830
58;5000x5000_20;20;7.127;7127;7145449;57157540;10017008;15212;6474;78830
59;5000x5000_20;20;7.148;7148;7145449;57157540;10017008;15212;6474;78830
60;5000x5000_20;20;8.017;8017;7145449;57157540;10017008;15212;6474;78830
61;5000x5000_30;30;9.133;9133;9305105;74432889;11131684;11079;7626;86030
62;5000x5000_30;30;8.426;8426;9305105;74432889;11131684;11079;7626;86030
63;5000x5000_30;30;8.936;8936;9305105;74432889;11131684;11079;7626;86030
64;5000x5000_30;30;9.483;9483;9305105;74432889;11131684;11079;7626;86030
65;5000x5000_30;30;8.668;8668;9305105;74432889;11131684;11079;7626;86030
66;5000x5000_30;30;8.405;8405;9305105;74432889;11131684;11079;7626;86030
67;5000x5000_30;30;8.712;8712;9305105;74432889;11131684;11079;7626;86030
68;5000x5000_30;30;8.545;8545;9305105;74432889;11131684;11079;7626;86030
69;5000x5000_30;30;8.421;8421;9305105;74432889;11131684;11079;7626;86030
70;5000x5000_30;30;8.377;8377;9305105;74432889;11131684;11079;7626;86030
71;5000x5000_30;30;8.464;8464;9305105;74432889;11131684;11079;7626;86030
72;5000x5000_30;30;8.305;8305;9305105;74432889;11131684;11079;7626;86030
73;5000x5000_30;30;8.115;8115;9305105;74432889;11131684;11079;7626;86030
74;5000x5000_30;30;8.678;8678;9305105;74432889;11131684;11079;7626;86030
75;5000x5000_30;30;7.760;7760;9305105;74432889;11131684;11079;7626;86030
76;5000x5000_30;30;9.532;9532;9305105;74432889;11131684;11079;7626;86030
